x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
22,116,57,58,185,87,28,188,117,167,24,160,71,79,22,34,52,114,167,43
89,69,41,75,194,160,177,55,138,41,145,36,130,138,19,24,102,122,30,183
33,74,140,41,18,96,126,95,120,126,28,121,83,14,192,140,56,145,43,99
121,88,116,85,10,162,174,78,112,129,43,139,96,51,99,195,157,13,17,28
184,29,26,119,104,88,138,81,129,88,101,170,124,183,117,118,44,168,178,122
104,159,179,86,187,155,122,141,77,65,30,59,11,191,119,174,165,53,47,51
77,172,166,119,176,61,142,109,64,87,158,77,33,127,117,89,115,148,35,148
30,119,114,109,87,89,130,128,34,96,116,51,21,78,46,21,21,161,196,106
155,33,25,66,121,110,130,48,109,72,144,35,198,192,20,73,57,83,110,25
148,124,107,43,99,53,11,192,129,170,90,132,80,160,27,172,110,12,41,168
106,34,26,25,129,195,38,98,32,88,17,65,184,118,10,78,195,10,67,142
118,158,16,63,104,128,99,48,82,27,151,33,195,131,158,113,120,152,28,100
91,117,162,27,67,114,198,58,63,144,197,193,45,141,192,92,55,73,76,50
70,139,81,73,190,119,113,175,155,53,21,158,131,20,163,27,11,51,142,75
32,195,141,28,104,79,141,183,11,41,116,17,112,65,75,155,24,75,193,60
123,55,185,29,138,73,26,52,88,110,31,61,64,13,105,185,11,146,198,199
28,20,41,113,133,70,62,152,111,151,16,56,130,175,157,84,190,75,45,18
114,35,52,122,92,22,184,69,200,154,117,70,168,133,93,71,181,161,183,125
86,141,53,155,160,88,155,20,15,190,90,153,36,17,117,49,159,164,15,45
69,47,134,144,13,12,193,64,33,13,139,33,189,96,64,75,77,155,101,151
112,169,105,10,183,49,54,58,39,32,155,118,143,83,20,99,185,100,140,179
127,42,92,25,77,10,13,15,180,34,70,108,50,65,38,53,45,147,179,128
151,89,152,123,100,178,196,150,186,100,28,162,14,61,176,135,92,48,78,78
154,163,52,34,127,158,172,37,85,113,130,92,41,11,59,157,183,137,118,36
33,65,131,76,14,101,24,100,155,118,115,162,21,83,105,117,91,141,155,61
147,194,139,164,191,120,166,58,120,83,76,145,131,177,120,132,47,39,147,50
162,49,139,93,171,25,192,109,72,57,124,168,182,178,110,47,112,186,154,55
56,200,94,70,188,127,145,24,92,163,65,118,22,101,31,129,54,77,156,18
85,46,114,92,54,109,46,76,121,64,65,11,51,109,182,13,114,119,72,79
