A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288,0
b,17.08,3.29,u,g,i,v,0.335,f,f,0,t,g,140,2
a,71.58,0,?,?,?,?,0,f,f,0,f,p,?,0
b,39.25,9.5,u,g,m,v,6.5,t,t,14,f,g,240,4607
b,30.17,6.5,u,g,cc,v,3.125,t,t,8,f,g,330,1200
b,32.08,4,u,g,m,v,2.5,t,f,0,t,g,360,0
b,27.25,1.665,u,g,cc,h,5.085,t,t,9,f,g,399,827
b,58.58,2.71,u,g,c,v,2.415,f,f,0,t,g,320,0
b,30.17,1.085,y,p,c,v,0.04,f,f,0,f,g,170,179
b,17.08,0.25,u,g,q,v,0.335,f,t,4,f,g,160,8
b,51.58,15,u,g,c,v,8.5,t,t,9,f,g,0,0
a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,160,0
a,44.33,0,u,g,c,v,2.5,t,f,0,f,g,0,0
b,26.75,4.5,y,p,c,bb,2.5,f,f,0,f,g,200,1210
b,60.08,14.5,u,g,ff,ff,18,t,t,15,t,g,0,1000
b,38.58,3.335,u,g,w,v,4,t,t,14,f,g,383,1344
b,29.58,4.5,u,g,w,v,7.5,t,t,2,t,g,330,0
a,27.67,1.5,u,g,m,v,2,t,f,0,f,s,368,0
b,34.92,2.5,u,g,w,v,0,t,f,0,t,g,239,200
b,29.67,0.75,y,p,c,v,0.04,f,f,0,f,g,240,0
a,19.17,8.585,u,g,cc,h,0.75,t,t,7,f,g,96,0
a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180,147
b,54.83,15.5,u,g,e,z,0,t,t,20,f,g,152,130
b,19.67,0.375,u,g,q,v,2,t,t,2,t,g,80,0
a,28.58,3.75,u,g,c,v,0.25,f,t,1,t,g,40,154
b,32.67,9,y,p,w,h,5.25,t,f,0,t,g,154,0
b,20.42,0,?,?,?,?,0,f,f,0,f,p,?,0
b,26.83,0.54,u,g,k,ff,0,f,f,0,f,g,100,0
b,36.42,0.75,y,p,d,v,0.585,f,f,0,f,g,240,3
a,23,11.75,u,g,x,h,0.5,t,t,2,t,g,300,551
b,34,5.5,y,p,c,v,1.5,f,f,0,t,g,60,0
b,27.25,1.585,u,g,cc,h,1.835,t,t,12,t,g,583,713
b,27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,100,3
b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,204,0
b,30.67,2.5,u,g,cc,h,2.25,f,f,0,t,s,340,0
?,20.08,0.125,u,g,q,v,1,f,t,1,f,g,240,768
b,26.25,1.54,u,g,w,v,0.125,f,f,0,f,g,100,0
a,23.58,11.5,y,p,k,h,3,f,f,0,t,g,20,16
a,18.17,10,y,p,q,h,0.165,f,f,0,f,g,340,0
a,28.67,1.04,u,g,c,v,2.5,t,t,5,t,g,300,1430
a,25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,491,0
b,41.17,1.335,u,g,d,v,0.165,f,f,0,f,g,168,0
b,39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,200,1000
a,27.58,3,u,g,m,v,2.79,f,t,1,t,g,280,10
b,16.33,4.085,u,g,i,h,0.415,f,f,0,t,g,120,0
b,24.75,0.54,u,g,m,v,1,f,f,0,t,g,120,1
b,24.58,13.5,y,p,ff,ff,0,f,f,0,f,g,?,0
b,18.83,0,u,g,q,v,0.665,f,f,0,f,g,160,1
b,26.75,1.125,u,g,x,h,1.25,t,f,0,f,g,0,5298
?,42.25,1.75,y,p,?,?,0,f,f,0,t,g,150,1
a,32.33,0.54,u,g,cc,v,0.04,t,f,0,f,g,440,11177
b,22.17,2.25,u,g,i,v,0.125,f,f,0,f,g,160,10
b,19.33,9.5,u,g,q,v,1,t,f,0,t,g,60,400
b,18,0.165,u,g,q,n,0.21,f,f,0,f,g,200,40
b,33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,180,18027
a,24.75,3,u,g,q,h,1.835,t,t,19,f,g,0,500
b,26.17,0.25,u,g,i,bb,0,t,f,0,t,g,0,0
b,48.5,4.25,u,g,m,v,0.125,t,f,0,t,g,225,0
a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,200,1000
b,20.67,1.25,y,p,c,h,1.375,t,t,3,t,g,140,210
b,29.83,2.04,y,p,x,h,0.04,f,f,0,f,g,128,1
b,34.17,5.25,u,g,w,v,0.085,f,f,0,t,g,290,6
?,20.42,7.5,u,g,k,v,1.5,t,t,1,f,g,160,234
b,28.67,14.5,u,g,d,v,0.125,f,f,0,f,g,0,286
a,28.75,3.75,u,g,c,v,1.085,t,t,1,t,g,371,0
b,50.75,0.585,u,g,ff,ff,0,f,f,0,f,g,145,0
b,22,7.835,y,p,i,bb,0.165,f,f,0,t,g,?,0
b,40.58,3.29,u,g,m,v,3.5,f,f,0,t,s,400,0
b,24.83,2.75,u,g,c,v,2.25,t,t,6,f,g,?,600
a,40.33,8.125,y,p,k,v,0.165,f,t,2,f,g,?,18
a,36.58,0.29,u,g,ff,ff,0,f,t,10,f,g,200,18
b,23.5,2.75,u,g,ff,ff,4.5,f,f,0,f,g,160,25
b,42.5,4.915,y,p,w,v,3.165,t,f,0,t,g,52,1442
b,34.58,0,?,?,?,?,0,f,f,0,f,p,?,0
b,40.92,0.5,y,p,m,v,0.5,f,f,0,t,g,130,0
a,17.83,11,u,g,x,h,1,t,t,11,f,g,0,3000
b,23.42,1,u,g,c,v,0.5,f,f,0,t,s,280,0
b,26.67,4.25,u,g,cc,v,4.29,t,t,1,t,g,120,0
a,57.08,19.5,u,g,c,v,5.5,t,t,7,f,g,0,3000
a,35.75,0.915,u,g,aa,v,0.75,t,t,4,f,g,0,1583
a,40.83,10,u,g,q,h,1.75,t,f,0,f,g,29,837
b,?,0.375,u,g,d,v,0.875,t,f,0,t,s,928,0
b,27,0.75,u,g,c,h,4.25,t,t,3,t,g,312,150
a,30,5.29,u,g,e,dd,2.25,t,t,5,t,g,99,500
a,65.17,14,u,g,ff,ff,0,t,t,11,t,g,0,1400
b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0,225
b,42,0.205,u,g,i,h,5.125,t,f,0,f,g,400,0
b,25.33,0.58,u,g,c,v,0.29,t,t,7,t,g,96,5124
b,39.17,1.625,u,g,c,v,1.5,t,t,10,f,g,186,4700
b,22.67,10.5,u,g,q,h,1.335,t,f,0,f,g,100,0
b,62.75,7,u,g,e,z,0,f,f,0,f,g,0,12
b,20.17,9.25,u,g,c,v,1.665,t,t,3,t,g,40,28
a,52.5,7,u,g,aa,h,3,f,f,0,f,g,0,0
a,15.92,2.875,u,g,q,v,0.085,f,f,0,f,g,120,0
b,48.58,0.205,y,p,k,v,0.25,t,t,11,f,g,380,2732
b,47.67,0.29,u,g,c,bb,15,t,t,20,f,g,0,15000
a,37.33,2.5,u,g,i,h,0.21,f,f,0,f,g,260,246
b,27.58,2.04,y,p,aa,v,2,t,t,3,t,g,370,560
b,21.33,7.5,u,g,aa,v,1.415,t,t,1,f,g,80,9800
a,18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,60,540
b,48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,0,790
b,48.75,8.5,u,g,c,h,12.5,t,t,9,f,g,181,1655
b,39.08,6,u,g,m,v,1.29,t,t,5,t,g,108,1097
a,19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,80,99
a,20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,49,0
b,32.75,1.5,u,g,cc,h,5.5,t,t,3,t,g,0,0
b,54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,0,284
a,27.67,2.04,u,g,w,v,0.25,f,f,0,t,g,180,50
b,26.17,0.835,u,g,cc,v,1.165,f,f,0,f,g,100,0
b,39.5,4.25,u,g,c,bb,6.5,t,t,16,f,g,117,1210
a,56.5,16,u,g,j,ff,0,t,t,15,f,g,0,247
a,18.83,9.5,u,g,w,v,1.625,t,t,6,t,g,40,600
b,22.25,0.46,u,g,k,v,0.125,f,f,0,t,g,280,55
a,27.42,14.5,u,g,x,h,3.085,t,t,1,f,g,120,11
a,23.58,0.83,u,g,q,v,0.415,f,t,1,t,g,200,11
b,47.83,4.165,u,g,x,bb,0.085,f,f,0,t,g,520,0
b,56,12.5,u,g,k,h,8,t,f,0,t,g,24,2028
b,21.58,0.79,y,p,cc,v,0.665,f,f,0,f,g,160,0
b,19.17,4,y,p,i,v,1,f,f,0,t,g,360,1000
b,35,2.5,u,g,i,v,1,f,f,0,t,g,210,0
a,28.17,0.375,u,g,q,v,0.585,t,t,4,f,g,80,0
b,28.17,0.125,y,p,k,v,0.085,f,f,0,f,g,216,2100
b,44.25,11,y,p,d,v,1.5,t,f,0,f,s,0,0
a,24.75,13.665,u,g,q,h,1.5,f,f,0,f,g,280,1
b,28.33,5,u,g,w,v,11,t,f,0,t,g,70,0
b,22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,60,396
b,36.5,4.25,u,g,q,v,3.5,f,f,0,f,g,454,50
b,33.67,1.25,u,g,w,v,1.165,f,f,0,f,g,120,0
a,18.75,7.5,u,g,q,v,2.71,t,t,5,f,g,?,26726
a,18.08,0.375,l,gg,cc,ff,10,f,f,0,t,s,300,0
a,45,4.585,u,g,k,h,1,f,f,0,t,s,240,0
b,41.17,1.25,y,p,w,v,0.25,f,f,0,f,g,0,195
b,33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,164,31285
b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,140,0
b,23.58,0.46,y,p,w,v,2.625,t,t,6,t,g,208,347
b,19.58,0.585,u,g,ff,ff,0,f,t,3,f,g,350,769
b,65.42,11,u,g,e,z,20,t,t,7,t,g,22,0
b,25,11.25,u,g,c,v,2.5,t,t,17,f,g,200,1208
b,36.75,0.125,y,p,c,v,1.5,f,f,0,t,g,232,113
b,20.42,7,u,g,c,v,1.625,t,t,3,f,g,200,1391
b,43.17,5,u,g,i,bb,2.25,f,f,0,t,g,141,0
b,34,5.085,y,p,i,bb,1.085,f,f,0,t,g,480,0
b,63.33,0.54,u,g,c,v,0.585,t,t,3,t,g,180,0
b,34.75,15,u,g,r,n,5.375,t,t,9,t,g,0,134
b,40.92,2.25,y,p,x,h,10,t,f,0,t,g,176,0
b,32.42,3,u,g,d,v,0.165,f,f,0,t,g,120,0
b,29.83,3.5,u,g,c,v,0.165,f,f,0,f,g,216,0
a,24.08,0.5,u,g,q,h,1.25,t,t,1,f,g,0,678
b,25.08,1.71,u,g,x,v,1.665,t,t,1,t,g,395,20
b,31,2.085,u,g,c,v,0.085,f,f,0,f,g,300,0
a,35.42,12,u,g,q,h,14,t,t,8,f,g,0,6590
a,16.5,1.25,u,g,q,v,0.25,f,t,1,f,g,108,98
b,17.08,0.085,y,p,c,v,0.04,f,f,0,f,g,140,722
b,34.25,3,u,g,cc,h,7.415,t,f,0,t,g,0,0
b,62.5,12.75,y,p,c,h,5,t,f,0,f,g,112,0
b,38.42,0.705,u,g,c,v,0.375,f,t,2,f,g,225,500
a,27.33,1.665,u,g,ff,ff,0,f,f,0,f,g,340,1
b,16.25,0,y,p,aa,v,0.25,f,f,0,f,g,60,0
a,36,1,u,g,c,v,2,t,t,11,f,g,0,456
a,18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,100,0
b,30.75,1.585,u,g,d,v,0.585,f,f,0,t,s,0,0
b,23,0.75,u,g,m,v,0.5,f,f,0,t,s,320,0
b,25.67,2.21,y,p,aa,v,4,t,f,0,f,g,188,0
b,37.33,2.665,u,g,cc,v,0.165,f,f,0,t,g,0,501
b,42.75,4.085,u,g,aa,v,0.04,f,f,0,f,g,108,100
a,33.92,1.585,y,p,ff,ff,0,t,f,0,f,g,320,0
b,25.92,0.875,u,g,k,v,0.375,f,t,2,t,g,174,3
b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,420,0
b,34.92,5,u,g,x,h,7.5,t,t,6,t,g,0,1000
a,24.33,2.5,y,p,i,bb,4.5,f,f,0,f,g,200,456
b,19.67,10,y,p,k,h,0.835,t,f,0,t,g,140,0
b,23.33,11.625,y,p,w,v,0.835,t,f,0,t,g,160,300
a,?,11.25,u,g,ff,ff,0,f,f,0,f,g,?,5200
