x1,x2,x3,x4,y
55.33,25.85,80.97,55.52,340.6857572
12.42,41.67,54.99,17.29,172.5584163
42.41,34.36,76.42,50.12,325.8816339
38.51,41.77,79.53,14.11,244.1521376
44.37,49.68,94.15,17.6,299.5418297
49.65,26.87,75.67,47.03,298.5395633
34.83,30.72,66.2,22.66,239.5232639
44.43,28.9,73.37,29.21,257.9952261
53.23,38.3,90.85,17.62,278.1856776
22.81,16.89,38.91,41.37,248.1905048
51.37,45.26,96.63,35.17,337.6412758
46.68,10.77,56.8,32.56,233.9205022
24.84,48.3,72.96,11.82,256.2561675
22.03,55.87,78.25,35.39,318.6114609
19.83,17.06,36.21,56.69,266.7419651
54.48,30.75,85.58,44.71,327.8992308
32.61,33.96,65.65,36.07,294.2859691
23.16,25.31,49.43,10.67,136.855617
45.25,39.59,84.1,57.8,398.5504382
39.66,55,93.88,40.29,367.0463483
33.48,56.94,90.13,31.06,349.7675231
13.2,21.28,34.55,11.12,145.4664771
23.98,53.23,76.74,19.63,295.1199186
41.15,11.93,52.33,21.02,186.5108693
56.22,44.7,100.91,12.59,339.6055126
49.56,53.67,103.26,18.82,323.5181533
18.34,48.39,65.74,17.56,222.6860322
55.52,18.22,74.71,34.81,258.4194407
59.77,13.83,72.65,59.11,342.3127969
16.28,36.03,53.24,59.39,307.3507667
29.81,10.25,39.33,27.05,171.2401566
54.08,22.63,75.83,23.52,253.4167665
31.72,55.02,86.74,28.21,323.2684701
42.07,43.35,85.79,55.57,431.9034004
28.79,53.31,82.14,22.85,307.2885928
19.95,31.64,52.01,13.63,201.6695946
23.56,25.38,49.33,39.06,250.7752193
37.9,48.03,84.96,43.8,395.9988675
22.09,40.72,63.71,25.55,273.2590941
14.04,44.73,58.95,12.26,198.4455308
55.56,52.13,108.39,44.29,379.9885194
22.19,21.7,43.13,17.36,154.0225609
26.62,11.63,38.04,46.08,245.329408
14.11,18.5,33.53,55.56,245.1349942
21.27,14.02,34.84,15.35,106.5382993
26.34,28.54,54.05,52.91,293.6645708
52.03,32.73,84.69,55.26,363.8179707
35.82,55.53,91.4,57.03,429.4923506
58.96,44.75,103.77,47.15,395.6049329
34.47,23.89,57.68,51.69,321.2434973
18.6,15.83,34.11,12.96,117.0602632
40.68,54.84,94.92,53.82,404.1074456
29.56,10.23,40.34,10.63,128.9739171
15.05,36.74,52.09,33.55,289.8311725
54.53,55.49,109.52,21.96,349.1267793
50.86,27.7,77.9,59.46,364.369554
10.3,55.93,65.58,15.68,233.1762937
28.02,43.71,72.55,34.41,309.9297429
16.36,43.74,60.87,22.59,235.6063091
51.63,30.56,81.23,57.33,387.057849
30.32,55.95,86.85,19.87,329.0437657
20.69,55.54,76.34,12.74,251.0849409
13.32,22.38,36.45,37.05,222.0061137
35.21,17.29,52.66,22.35,154.7531111
56.14,45.91,101.65,32.09,358.9606516
29.22,30.34,59.27,24.73,251.5085298
57.48,15.1,73.4,33.7,302.4281815
58.4,38.91,96.66,26.67,322.6429801
30.51,51.27,82.37,33.18,322.9473928
49.52,54.74,103.99,28.63,348.6638921
49.98,59.07,109.69,50.5,400.5284738
57.17,12.78,69.49,28.76,242.219382
34.31,24.68,58.02,10.38,187.7676714
37.56,17.05,54.86,38.72,253.4173122
43.28,38.08,81.81,16.43,258.0692258
22.08,58.96,81.92,54.27,391.8806888
32.93,24.21,56.21,20.87,203.5548842
16.73,36.5,52.79,20.92,249.5453536
50.5,57.61,107.76,21.76,296.1161546
19.67,30.48,50.4,58.85,265.9359943
20.21,48.65,69.01,20.88,255.0865986
44.89,54.03,99.12,58.22,423.1551948
13.9,23.25,37.31,39.99,229.4306189
38.41,48.11,86.79,26.54,328.7081986
59.77,31.63,91.85,12.69,240.2547744
45.66,16.19,61.56,34.34,240.5631105
38.03,11.88,49.76,33.78,208.2873642
34.45,11.34,45.29,45.54,262.0495009
37.54,11,48.31,12.46,175.2447708
37.08,42.19,79.35,16.64,247.1583549
24.62,19.69,45.14,34.58,212.8118679
30.83,59.31,90.16,18.88,314.6574331
50.43,16.2,67.63,52.87,303.2303968
51.85,38.6,90.63,25.56,304.0492916
47.08,55.87,102.88,19.19,282.2123421
40.84,48.41,88.91,26.46,268.3474833
59.7,14.8,73.79,11.55,202.3262661
30.05,17.98,47.59,16.74,194.7422236
57.91,42.75,100.64,47.45,395.906208
57.19,34.29,90.99,45.75,350.2628678
19.81,16.96,36.02,54.16,255.4396535
21.76,33.89,56.34,20.52,200.8548552
32.37,31.4,64.54,25.76,210.27567
29.78,56.72,87.05,33.03,324.93113
43.44,40.41,84.8,47.92,383.4169313
18.05,30.89,49.34,16.36,170.1719445
37.14,30.32,67.78,49.39,324.1650216
19.35,45.34,64.43,18.48,222.6577335
58.58,41.52,99.15,34.79,343.5734782
37.04,30.63,68.09,26.89,219.1140855
59.94,55.36,114.94,36.67,421.4109619
14.6,26.88,41.4,17.56,158.4213211
32.92,29.04,60.97,22.59,212.021986
41.42,54.89,97.08,45.2,422.1903971
21.37,47.23,67.61,46.14,331.3603845
17.07,51.51,68.04,37.02,273.990306
24.28,41.56,66.36,32.07,271.9605102
27.05,47.76,74.4,28.98,299.8761565
24.19,30.19,54.29,12.37,166.387942
30.59,52.84,83.04,15.5,250.3754082
21.35,49.83,71.68,47.64,316.3142016
29.84,57.48,88.21,33.8,313.9247397
53.48,19.38,72.02,34.55,268.7132002
30.14,38.06,68.46,21.66,230.303344
25.72,19.9,45.26,39.38,207.2442449
45.58,57.55,103.71,23.38,326.3646517
51.29,56.84,108.03,50.97,458.4023358
20.95,20.69,42.07,17.12,172.283877
46.03,19.56,65.27,17.8,182.9719121
40.13,37.86,78.96,45.22,314.8607198
30.47,37.07,67.46,54.68,311.2356664
39.69,55.34,94.8,35.06,326.3601315
45.44,13.91,58.77,47.09,281.5815304
