x1,x2,x3,x4,x5,x6,x7,y
588.00,294.00,156.50,172.00,4.82,0.40,48.72,31.00
686.00,245.00,226.00,148.00,3.83,0.10,38.49,13.57
514.50,294.00,107.25,196.00,4.17,0.10,50.48,26.18
637.00,343.00,137.00,158.00,3.80,0.40,51.28,38.35
637.00,343.00,153.00,158.00,3.13,0.10,46.12,41.22
808.50,367.50,219.50,124.00,2.14,0.10,26.26,14.37
661.50,416.50,132.50,152.00,5.14,0.10,44.60,34.50
759.50,318.50,223.00,132.00,3.81,0.10,50.50,15.00
784.00,343.00,226.50,128.00,3.12,0.10,41.44,19.43
612.50,318.50,156.50,164.00,1.97,0.25,57.64,30.17
735.00,294.00,218.00,138.00,1.85,0.25,41.94,15.21
563.50,318.50,131.00,180.00,2.03,0.40,46.98,37.26
661.50,416.50,116.50,152.00,1.99,0.10,59.03,33.85
563.50,318.50,128.50,180.00,5.15,0.10,40.10,34.33
588.00,294.00,137.00,172.00,2.13,0.10,53.98,27.17
588.00,294.00,146.50,172.00,3.86,0.10,60.14,31.06
563.50,318.50,122.50,180.00,4.97,0.25,61.26,37.58
637.00,343.00,150.00,158.00,3.83,0.25,52.17,44.16
735.00,294.00,220.50,138.00,3.00,0.40,27.68,15.87
661.50,416.50,112.50,152.00,2.14,0.40,76.88,39.55
735.00,294.00,230.00,138.00,1.83,0.10,36.77,14.55
784.00,343.00,219.50,128.00,4.81,0.10,52.41,19.48
735.00,294.00,229.00,138.00,2.86,0.25,48.07,14.97
808.50,367.50,218.00,124.00,5.04,0.25,30.11,14.75
686.00,245.00,224.00,148.00,3.01,0.25,49.04,15.24
710.50,269.50,213.00,142.00,4.01,0.25,48.90,14.94
784.00,343.00,223.00,128.00,3.13,0.10,34.52,19.34
735.00,294.00,223.50,138.00,4.97,0.25,35.82,15.78
514.50,294.00,112.75,196.00,2.20,0.10,43.85,25.64
710.50,269.50,212.50,142.00,3.05,0.40,38.39,14.58
735.00,294.00,221.00,138.00,2.10,0.40,37.50,16.50
784.00,343.00,225.50,128.00,3.04,0.40,37.55,20.21
588.00,294.00,146.00,172.00,1.88,0.40,60.74,35.22
784.00,343.00,216.00,128.00,2.86,0.00,48.32,16.80
563.50,318.50,128.50,180.00,2.88,0.25,53.10,33.17
759.50,318.50,222.50,132.00,2.88,0.10,35.91,14.67
686.00,245.00,211.00,148.00,3.98,0.10,31.67,13.65
661.50,416.50,115.00,152.00,1.80,0.25,66.13,36.07
808.50,367.50,230.00,124.00,2.88,0.10,38.10,14.50
612.50,318.50,147.00,164.00,5.10,0.10,37.64,28.51
588.00,294.00,155.50,172.00,2.05,0.10,59.63,30.89
563.50,318.50,129.00,180.00,3.07,0.10,52.09,32.85
784.00,343.00,213.50,128.00,4.16,0.40,59.35,22.09
637.00,343.00,151.00,158.00,5.03,0.10,65.61,43.33
710.50,269.50,217.50,142.00,4.09,0.10,29.44,13.87
710.50,269.50,217.00,142.00,4.98,0.40,22.11,15.31
784.00,343.00,228.50,128.00,4.02,0.10,45.14,19.42
784.00,343.00,219.50,128.00,4.91,0.25,38.26,21.08
784.00,343.00,229.50,128.00,3.16,0.10,36.62,19.25
514.50,294.00,119.25,196.00,2.17,0.25,55.21,29.79
661.50,416.50,117.50,152.00,3.16,0.00,45.57,29.68
808.50,367.50,211.00,124.00,2.91,0.25,43.10,15.95
637.00,343.00,154.00,158.00,4.97,0.25,57.70,37.26
563.50,318.50,129.00,180.00,2.11,0.40,47.54,39.28
514.50,294.00,116.75,196.00,2.98,0.00,44.57,21.33
735.00,294.00,213.00,138.00,5.18,0.25,48.90,16.13
588.00,294.00,155.00,172.00,3.95,0.00,46.28,23.49
784.00,343.00,216.00,128.00,2.12,0.40,47.85,22.72
759.50,318.50,227.50,132.00,4.04,0.40,26.08,18.36
588.00,294.00,147.50,172.00,4.18,0.10,65.79,27.03
563.50,318.50,115.50,180.00,2.88,0.40,71.11,33.14
735.00,294.00,220.50,138.00,5.03,0.10,35.55,14.39
637.00,343.00,147.50,158.00,5.10,0.40,65.99,46.94
612.50,318.50,138.00,164.00,3.90,0.40,39.55,31.14
784.00,343.00,223.00,128.00,3.14,0.25,57.35,19.76
808.50,367.50,225.50,124.00,4.11,0.25,36.07,15.77
735.00,294.00,228.00,138.00,1.87,0.10,25.69,14.29
563.50,318.50,114.00,180.00,2.08,0.00,36.95,28.28
759.50,318.50,217.50,132.00,4.95,0.25,29.92,16.19
808.50,367.50,229.00,124.00,2.19,0.40,46.88,17.36
514.50,294.00,103.75,196.00,2.87,0.40,53.32,33.34
808.50,367.50,220.00,124.00,2.01,0.40,41.97,17.10
784.00,343.00,212.50,128.00,4.09,0.40,57.87,21.54
735.00,294.00,224.00,138.00,2.92,0.40,33.20,17.01
612.50,318.50,153.00,164.00,4.85,0.10,52.29,24.93
588.00,294.00,152.00,172.00,5.18,0.40,43.61,31.60
735.00,294.00,218.00,138.00,3.80,0.25,39.99,15.44
637.00,343.00,149.50,158.00,3.94,0.10,62.44,33.87
612.50,318.50,149.00,164.00,5.04,0.25,53.52,28.14
759.50,318.50,225.00,132.00,4.98,0.40,53.04,17.95
784.00,343.00,211.00,128.00,4.81,0.40,41.89,22.53
686.00,245.00,214.50,148.00,3.94,0.25,42.09,15.18
612.50,318.50,146.50,164.00,4.85,0.40,41.89,29.64
514.50,294.00,115.75,196.00,2.95,0.40,61.55,33.24
808.50,367.50,211.50,124.00,3.16,0.10,42.01,14.23
784.00,343.00,230.00,128.00,4.97,0.40,55.93,21.93
808.50,367.50,211.00,124.00,4.88,0.10,37.90,14.15
759.50,318.50,213.50,132.00,4.82,0.10,49.75,13.83
514.50,294.00,117.75,196.00,4.90,0.10,38.20,26.14
686.00,245.00,213.00,148.00,1.91,0.25,45.72,14.73
710.50,269.50,222.00,142.00,3.96,0.10,44.29,13.79
588.00,294.00,148.00,172.00,1.92,0.40,59.96,35.48
514.50,294.00,113.25,196.00,4.98,0.25,66.97,29.49
808.50,367.50,223.50,124.00,3.87,0.10,46.89,14.27
514.50,294.00,114.75,196.00,4.81,0.10,32.51,25.89
588.00,294.00,153.50,172.00,4.84,0.10,44.57,31.28
514.50,294.00,112.25,196.00,3.14,0.25,40.42,29.77
661.50,416.50,112.50,152.00,4.06,0.00,62.04,29.79
735.00,294.00,221.50,138.00,5.03,0.00,45.02,11.93
686.00,245.00,216.00,148.00,1.85,0.10,35.70,13.43
563.50,318.50,125.00,180.00,3.95,0.25,56.95,32.77
637.00,343.00,149.00,158.00,2.87,0.40,74.72,39.07
514.50,294.00,108.75,196.00,3.84,0.25,64.08,29.28
588.00,294.00,142.00,172.00,3.19,0.40,69.24,30.66
588.00,294.00,146.50,172.00,3.93,0.25,36.27,34.15
588.00,294.00,149.00,172.00,5.13,0.10,60.12,25.81
710.50,269.50,211.50,142.00,2.93,0.10,29.19,14.12
612.50,318.50,140.00,164.00,5.01,0.25,39.47,26.41
661.50,416.50,113.00,152.00,5.17,0.40,78.22,39.70
735.00,294.00,216.00,138.00,3.93,0.40,49.26,17.23
637.00,343.00,137.50,158.00,1.94,0.40,64.32,46.44
612.50,318.50,152.50,164.00,3.85,0.40,65.19,28.95
759.50,318.50,221.00,132.00,2.01,0.25,42.50,15.89
637.00,343.00,157.00,158.00,2.94,0.10,77.80,34.18
808.50,367.50,227.00,124.00,3.02,0.10,27.58,14.57
710.50,269.50,229.50,142.00,4.87,0.10,27.74,13.87
808.50,367.50,218.50,124.00,4.95,0.40,41.10,16.03
588.00,294.00,157.00,172.00,1.85,0.40,69.86,29.69
784.00,343.00,213.50,128.00,4.97,0.25,50.98,20.43
759.50,318.50,212.50,132.00,2.92,0.40,50.39,18.03
735.00,294.00,216.00,138.00,5.13,0.40,25.97,17.02
661.50,416.50,128.50,152.00,4.85,0.40,50.74,40.77
735.00,294.00,220.00,138.00,3.17,0.25,33.59,15.63
759.50,318.50,228.00,132.00,3.17,0.00,20.15,12.23
661.50,416.50,128.50,152.00,4.14,0.10,59.97,34.17
735.00,294.00,220.50,138.00,5.10,0.25,36.65,15.17
514.50,294.00,116.75,196.00,3.15,0.25,65.20,29.59
759.50,318.50,217.00,132.00,4.16,0.25,30.55,16.39
637.00,343.00,152.00,158.00,5.19,0.25,76.09,45.97
686.00,245.00,211.00,148.00,2.95,0.25,46.28,15.50
514.50,294.00,108.75,196.00,2.14,0.10,45.54,25.68
563.50,318.50,116.50,180.00,3.85,0.10,48.99,30.08
686.00,245.00,221.00,148.00,1.81,0.10,35.08,13.39
735.00,294.00,227.00,138.00,2.18,0.25,46.22,15.37
563.50,318.50,124.00,180.00,3.04,0.25,61.43,32.00
710.50,269.50,215.00,142.00,2.01,0.10,25.21,13.67
759.50,318.50,224.50,132.00,5.10,0.25,42.00,15.87
514.50,294.00,104.75,196.00,3.15,0.10,45.21,25.72
735.00,294.00,214.50,138.00,3.02,0.00,33.26,12.05
612.50,318.50,151.50,164.00,3.80,0.10,40.90,24.80
759.50,318.50,214.00,132.00,3.09,0.40,34.76,17.89
588.00,294.00,144.00,172.00,3.92,0.25,45.87,29.90
612.50,318.50,155.50,164.00,4.00,0.25,62.92,28.76
514.50,294.00,112.25,196.00,2.97,0.10,37.32,25.63
710.50,269.50,210.50,142.00,4.06,0.25,44.08,15.57
612.50,318.50,156.00,164.00,4.82,0.40,64.73,28.43
612.50,318.50,146.50,164.00,3.15,0.25,64.52,27.84
784.00,343.00,213.00,128.00,4.01,0.10,50.76,19.37
686.00,245.00,216.50,148.00,2.95,0.10,46.97,13.36
588.00,294.00,140.50,172.00,2.13,0.10,47.68,31.73
808.50,367.50,212.00,124.00,4.02,0.25,51.18,14.61
784.00,343.00,228.50,128.00,2.20,0.25,30.41,19.65
637.00,343.00,157.00,158.00,4.14,0.25,56.87,37.76
661.50,416.50,117.50,152.00,4.01,0.10,55.35,33.64
637.00,343.00,141.50,158.00,1.84,0.10,62.43,34.99
612.50,318.50,140.00,164.00,3.03,0.40,55.65,30.65
563.50,318.50,129.50,180.00,5.04,0.25,58.25,33.16
784.00,343.00,227.50,128.00,2.18,0.25,39.92,21.13
735.00,294.00,224.50,138.00,4.85,0.40,53.64,17.22
808.50,367.50,223.00,124.00,2.93,0.40,55.73,17.21
759.50,318.50,227.00,132.00,2.92,0.40,28.40,17.63
686.00,245.00,226.00,148.00,3.90,0.00,19.55,10.94
735.00,294.00,228.00,138.00,3.84,0.40,51.32,16.90
514.50,294.00,117.25,196.00,2.87,0.25,69.25,29.78
588.00,294.00,152.00,172.00,2.95,0.25,70.47,27.89
784.00,343.00,214.50,128.00,3.13,0.25,45.18,20.56
784.00,343.00,218.00,128.00,5.16,0.10,25.71,19.29
808.50,367.50,220.00,124.00,1.93,0.00,36.85,12.07
686.00,245.00,222.00,148.00,5.20,0.25,35.72,14.76
637.00,343.00,156.00,158.00,2.81,0.25,75.73,45.48
710.50,269.50,222.00,142.00,4.93,0.25,42.21,14.94
661.50,416.50,119.50,152.00,5.20,0.10,48.60,33.67
759.50,318.50,222.00,132.00,1.82,0.25,30.39,15.53
686.00,245.00,215.50,148.00,2.00,0.10,45.75,13.20
563.50,318.50,112.50,180.00,4.84,0.25,51.26,35.62
588.00,294.00,149.00,172.00,4.88,0.25,68.55,29.82
710.50,269.50,225.50,142.00,1.99,0.40,40.91,15.59
637.00,343.00,146.50,158.00,3.04,0.10,60.45,34.62
661.50,416.50,130.00,152.00,3.88,0.40,74.24,40.47
563.50,318.50,114.00,180.00,1.98,0.25,54.75,32.25
759.50,318.50,224.00,132.00,3.80,0.25,22.98,16.17
710.50,269.50,229.50,142.00,4.90,0.25,22.14,14.97
759.50,318.50,213.50,132.00,1.89,0.25,43.57,15.95
612.50,318.50,139.00,164.00,2.97,0.25,45.30,27.76
637.00,343.00,148.50,158.00,4.90,0.40,79.41,39.56
588.00,294.00,155.00,172.00,3.10,0.10,49.45,31.76
514.50,294.00,120.25,196.00,1.83,0.10,52.04,25.91
563.50,318.50,120.00,180.00,4.10,0.25,60.82,37.19
710.50,269.50,218.50,142.00,2.93,0.40,48.63,15.47
588.00,294.00,151.00,172.00,2.97,0.40,43.36,30.53
808.50,367.50,230.00,124.00,1.91,0.40,31.68,16.90
612.50,318.50,144.50,164.00,1.85,0.00,48.30,23.77
686.00,245.00,225.00,148.00,4.15,0.25,34.67,15.03
612.50,318.50,156.00,164.00,5.02,0.25,67.58,27.34
735.00,294.00,224.00,138.00,2.87,0.40,33.18,17.00
514.50,294.00,113.75,196.00,4.80,0.40,48.81,33.88
735.00,294.00,222.50,138.00,3.83,0.25,34.94,15.48
563.50,318.50,119.50,180.00,2.09,0.40,60.21,33.94
661.50,416.50,130.50,152.00,3.92,0.25,68.22,37.05
808.50,367.50,218.00,124.00,3.88,0.25,30.76,15.07
661.50,416.50,131.00,152.00,1.97,0.10,56.08,33.91
661.50,416.50,129.00,152.00,5.12,0.40,60.36,39.48
637.00,343.00,143.50,158.00,3.01,0.10,74.05,43.30
