x1,x2,x3,x4,x5,x6,x7
588.00,294.00,137.00,172.00,5.15,0.40,62.52
563.50,318.50,119.50,180.00,3.06,0.40,74.98
514.50,294.00,104.25,196.00,2.13,0.10,45.91
735.00,294.00,211.00,138.00,2.20,0.40,29.74
588.00,294.00,151.50,172.00,4.01,0.40,64.24
686.00,245.00,222.00,148.00,1.91,0.00,46.38
735.00,294.00,220.00,138.00,1.84,0.10,48.60
612.50,318.50,144.00,164.00,2.82,0.40,61.17
637.00,343.00,153.00,158.00,4.05,0.10,75.10
686.00,245.00,210.50,148.00,1.85,0.40,23.41
637.00,343.00,140.00,158.00,3.92,0.25,73.41
637.00,343.00,152.00,158.00,1.82,0.40,57.91
759.50,318.50,223.50,132.00,1.87,0.25,46.30
514.50,294.00,118.75,196.00,5.05,0.25,64.24
759.50,318.50,216.50,132.00,2.12,0.25,54.39
612.50,318.50,139.00,164.00,2.88,0.10,61.49
588.00,294.00,157.00,172.00,4.90,0.40,41.57
637.00,343.00,147.50,158.00,2.89,0.40,60.60
710.50,269.50,220.00,142.00,2.00,0.25,30.91
661.50,416.50,127.50,152.00,1.86,0.40,68.98
686.00,245.00,212.50,148.00,2.01,0.25,41.84
514.50,294.00,103.25,196.00,4.80,0.10,35.75
563.50,318.50,122.50,180.00,3.91,0.10,62.47
612.50,318.50,138.50,164.00,4.90,0.40,41.33
759.50,318.50,229.50,132.00,2.17,0.10,20.84
563.50,318.50,117.50,180.00,3.05,0.40,67.47
612.50,318.50,156.00,164.00,5.09,0.10,65.27
514.50,294.00,102.25,196.00,2.19,0.25,58.61
710.50,269.50,217.00,142.00,4.87,0.10,22.43
759.50,318.50,230.00,132.00,1.97,0.40,39.27
612.50,318.50,137.00,164.00,3.06,0.40,70.00
784.00,343.00,218.50,128.00,4.11,0.25,51.94
784.00,343.00,220.50,128.00,3.02,0.25,47.35
612.50,318.50,154.50,164.00,3.19,0.25,58.38
637.00,343.00,141.50,158.00,3.84,0.40,66.33
759.50,318.50,226.00,132.00,4.91,0.10,44.04
735.00,294.00,216.00,138.00,3.10,0.10,47.99
759.50,318.50,220.50,132.00,2.91,0.25,33.98
612.50,318.50,155.00,164.00,3.89,0.40,63.82
661.50,416.50,128.00,152.00,2.88,0.25,53.10
759.50,318.50,217.50,132.00,4.09,0.40,50.15
710.50,269.50,221.00,142.00,2.05,0.40,29.25
735.00,294.00,224.50,138.00,5.10,0.40,48.36
661.50,416.50,126.00,152.00,2.09,0.10,49.77
808.50,367.50,227.50,124.00,3.05,0.25,34.89
612.50,318.50,145.00,164.00,3.05,0.40,51.45
612.50,318.50,156.00,164.00,3.18,0.25,42.80
612.50,318.50,150.50,164.00,3.00,0.10,51.79
784.00,343.00,223.50,128.00,3.13,0.10,53.54
808.50,367.50,227.50,124.00,1.96,0.25,48.97
710.50,269.50,214.00,142.00,1.88,0.10,27.28
808.50,367.50,218.50,124.00,1.98,0.25,38.83
514.50,294.00,114.75,196.00,3.80,0.10,43.34
759.50,318.50,227.00,132.00,3.06,0.40,33.59
588.00,294.00,137.00,172.00,4.97,0.25,57.13
588.00,294.00,141.00,172.00,4.85,0.00,42.28
563.50,318.50,121.00,180.00,3.81,0.25,46.12
637.00,343.00,147.50,158.00,4.95,0.10,76.61
784.00,343.00,223.00,128.00,1.98,0.40,46.71
637.00,343.00,138.00,158.00,1.90,0.25,55.33
686.00,245.00,216.00,148.00,4.10,0.10,26.88
661.50,416.50,131.00,152.00,2.83,0.40,59.55
808.50,367.50,214.00,124.00,4.99,0.00,17.62
661.50,416.50,115.00,152.00,5.14,0.00,62.70
784.00,343.00,211.00,128.00,2.03,0.10,46.51
588.00,294.00,140.00,172.00,4.12,0.25,60.10
686.00,245.00,218.50,148.00,2.11,0.10,51.01
514.50,294.00,103.75,196.00,2.06,0.40,45.48
759.50,318.50,226.50,132.00,4.04,0.40,51.87
563.50,318.50,118.50,180.00,1.85,0.25,70.98
612.50,318.50,154.00,164.00,4.81,0.40,59.90
514.50,294.00,114.25,196.00,1.90,0.40,62.26
784.00,343.00,225.00,128.00,4.17,0.40,51.29
637.00,343.00,157.00,158.00,2.17,0.25,66.62
808.50,367.50,213.50,124.00,4.98,0.25,33.47
637.00,343.00,153.00,158.00,1.87,0.25,51.16
563.50,318.50,113.00,180.00,4.20,0.40,74.23
686.00,245.00,225.50,148.00,5.10,0.00,45.37
710.50,269.50,223.50,142.00,3.97,0.25,45.88
661.50,416.50,132.50,152.00,4.00,0.10,69.29
563.50,318.50,120.00,180.00,3.19,0.25,46.04
735.00,294.00,224.00,138.00,2.94,0.25,36.10
563.50,318.50,125.00,180.00,5.06,0.40,52.51
637.00,343.00,147.00,158.00,2.11,0.00,57.58
514.50,294.00,118.25,196.00,2.84,0.10,54.34
686.00,245.00,214.50,148.00,4.13,0.10,35.42
784.00,343.00,210.50,128.00,2.00,0.40,45.04
686.00,245.00,223.00,148.00,5.07,0.40,36.65
759.50,318.50,229.00,132.00,5.08,0.40,45.52
612.50,318.50,144.00,164.00,2.17,0.10,42.50
710.50,269.50,222.00,142.00,3.17,0.25,32.88
637.00,343.00,137.50,158.00,2.80,0.40,56.02
661.50,416.50,118.00,152.00,3.01,0.40,74.33
759.50,318.50,222.00,132.00,5.17,0.10,24.51
759.50,318.50,212.50,132.00,5.11,0.25,32.08
588.00,294.00,138.50,172.00,5.17,0.10,65.73
637.00,343.00,141.50,158.00,5.05,0.25,73.48
661.50,416.50,113.00,152.00,1.89,0.25,53.91
661.50,416.50,124.50,152.00,5.15,0.25,68.52
686.00,245.00,223.50,148.00,4.85,0.40,26.46
637.00,343.00,155.00,158.00,5.09,0.40,64.54
563.50,318.50,121.50,180.00,4.08,0.10,52.69
514.50,294.00,109.75,196.00,5.00,0.40,48.45
637.00,343.00,149.00,158.00,2.82,0.40,68.14
710.50,269.50,210.50,142.00,4.92,0.25,48.91
759.50,318.50,227.50,132.00,2.07,0.10,20.81
808.50,367.50,228.00,124.00,5.06,0.25,30.27
661.50,416.50,125.50,152.00,4.09,0.40,67.84
514.50,294.00,116.75,196.00,4.06,0.40,53.65
686.00,245.00,220.50,148.00,3.20,0.25,50.72
784.00,343.00,217.00,128.00,3.95,0.10,45.75
808.50,367.50,210.50,124.00,4.05,0.25,36.39
759.50,318.50,217.50,132.00,4.12,0.25,30.50
661.50,416.50,116.00,152.00,2.83,0.40,67.18
637.00,343.00,142.00,158.00,5.20,0.00,53.55
637.00,343.00,147.00,158.00,2.09,0.25,53.68
759.50,318.50,211.50,132.00,3.13,0.25,35.97
808.50,367.50,212.50,124.00,4.10,0.40,49.36
735.00,294.00,229.00,138.00,5.08,0.25,41.90
808.50,367.50,220.50,124.00,3.89,0.10,53.07
808.50,367.50,221.00,124.00,2.92,0.40,41.89
759.50,318.50,220.50,132.00,3.87,0.25,46.95
710.50,269.50,228.50,142.00,5.10,0.10,49.09
661.50,416.50,126.50,152.00,5.08,0.25,74.52
710.50,269.50,227.50,142.00,3.15,0.10,36.87
588.00,294.00,143.50,172.00,2.01,0.25,56.81
686.00,245.00,228.50,148.00,3.20,0.10,37.76
808.50,367.50,213.50,124.00,4.99,0.40,36.02
808.50,367.50,223.50,124.00,4.06,0.10,33.15
686.00,245.00,213.50,148.00,2.12,0.40,48.82
784.00,343.00,216.00,128.00,4.01,0.10,45.13
735.00,294.00,213.50,138.00,2.12,0.25,36.70
612.50,318.50,154.00,164.00,3.97,0.25,60.21
686.00,245.00,218.00,148.00,5.17,0.25,46.00
784.00,343.00,215.00,128.00,3.18,0.40,57.53
637.00,343.00,153.50,158.00,4.93,0.25,75.46
808.50,367.50,222.00,124.00,3.86,0.00,31.47
612.50,318.50,155.00,164.00,3.89,0.25,37.65
637.00,343.00,142.50,158.00,5.10,0.40,50.15
686.00,245.00,222.00,148.00,2.96,0.40,40.74
514.50,294.00,110.75,196.00,1.90,0.00,43.14
661.50,416.50,127.00,152.00,3.97,0.25,67.32
808.50,367.50,229.00,124.00,3.08,0.25,25.98
612.50,318.50,140.50,164.00,3.83,0.10,51.13
612.50,318.50,143.00,164.00,1.87,0.25,56.81
514.50,294.00,112.75,196.00,2.20,0.40,57.88
735.00,294.00,216.50,138.00,5.01,0.25,47.36
563.50,318.50,120.00,180.00,5.00,0.40,60.23
759.50,318.50,226.00,132.00,3.80,0.10,32.72
710.50,269.50,218.00,142.00,3.17,0.25,35.28
735.00,294.00,219.00,138.00,2.02,0.10,26.82
588.00,294.00,157.00,172.00,2.06,0.10,39.73
710.50,269.50,213.50,142.00,2.88,0.10,21.64
661.50,416.50,131.50,152.00,3.89,0.25,52.40
808.50,367.50,226.50,124.00,2.00,0.25,38.84
784.00,343.00,222.00,128.00,2.02,0.10,30.00
612.50,318.50,152.00,164.00,4.03,0.10,41.87
637.00,343.00,149.00,158.00,4.19,0.10,59.65
808.50,367.50,230.00,124.00,3.97,0.10,40.66
710.50,269.50,229.00,142.00,3.86,0.10,40.58
686.00,245.00,217.50,148.00,3.11,0.25,45.74
514.50,294.00,109.25,196.00,1.89,0.25,57.74
563.50,318.50,125.50,180.00,5.16,0.10,61.84
686.00,245.00,228.50,148.00,1.83,0.25,38.81
514.50,294.00,110.75,196.00,3.93,0.10,56.83
784.00,343.00,214.00,128.00,2.97,0.40,54.22
588.00,294.00,153.50,172.00,4.83,0.25,41.28
514.50,294.00,110.25,196.00,2.93,0.25,53.73
661.50,416.50,132.00,152.00,4.05,0.10,63.36
612.50,318.50,137.50,164.00,4.02,0.25,52.25
637.00,343.00,147.00,158.00,2.11,0.40,55.03
661.50,416.50,119.00,152.00,2.96,0.25,61.73
710.50,269.50,230.50,142.00,1.91,0.40,32.92
661.50,416.50,123.50,152.00,4.90,0.10,60.71
514.50,294.00,101.75,196.00,4.18,0.40,56.29
784.00,343.00,221.50,128.00,4.07,0.00,44.74
686.00,245.00,218.50,148.00,4.19,0.10,32.52
735.00,294.00,210.50,138.00,1.91,0.40,36.43
735.00,294.00,214.00,138.00,3.94,0.10,36.77
735.00,294.00,230.50,138.00,2.83,0.10,22.00
612.50,318.50,155.00,164.00,3.90,0.10,43.71
637.00,343.00,138.00,158.00,4.18,0.10,74.52
637.00,343.00,156.50,158.00,2.82,0.00,41.74
563.50,318.50,123.50,180.00,2.86,0.25,53.45
661.50,416.50,115.00,152.00,2.95,0.10,59.52
563.50,318.50,115.00,180.00,1.95,0.10,65.84
686.00,245.00,222.50,148.00,3.90,0.40,43.02
686.00,245.00,222.50,148.00,4.09,0.25,31.91
710.50,269.50,211.00,142.00,4.88,0.40,36.86
637.00,343.00,139.50,158.00,3.95,0.40,55.54
735.00,294.00,223.50,138.00,3.99,0.25,40.29
514.50,294.00,110.25,196.00,3.00,0.40,43.26
808.50,367.50,219.00,124.00,2.19,0.25,52.40
563.50,318.50,128.50,180.00,4.03,0.25,54.79
735.00,294.00,213.50,138.00,3.17,0.25,40.15
784.00,343.00,230.50,128.00,2.20,0.10,28.45
759.50,318.50,225.50,132.00,1.94,0.00,43.90
784.00,343.00,226.50,128.00,2.14,0.25,36.22
588.00,294.00,137.00,172.00,2.10,0.25,45.79
637.00,343.00,147.50,158.00,2.91,0.25,70.00
588.00,294.00,144.50,172.00,2.20,0.25,58.53
735.00,294.00,226.50,138.00,3.81,0.40,42.82
612.50,318.50,145.50,164.00,5.01,0.25,42.46
735.00,294.00,228.50,138.00,2.80,0.25,44.21
735.00,294.00,219.50,138.00,2.03,0.25,40.71
661.50,416.50,131.50,152.00,3.19,0.25,65.31
514.50,294.00,108.25,196.00,4.84,0.25,62.93
661.50,416.50,121.50,152.00,2.91,0.10,49.74
637.00,343.00,150.50,158.00,2.01,0.10,63.54
735.00,294.00,219.00,138.00,2.90,0.40,44.53
563.50,318.50,127.50,180.00,2.89,0.25,56.02
612.50,318.50,143.00,164.00,4.88,0.00,25.76
759.50,318.50,212.00,132.00,3.18,0.25,48.39
710.50,269.50,225.00,142.00,3.01,0.25,21.66
563.50,318.50,117.00,180.00,4.90,0.10,45.87
686.00,245.00,213.50,148.00,5.00,0.10,26.73
661.50,416.50,129.00,152.00,4.89,0.10,51.50
710.50,269.50,226.50,142.00,4.12,0.25,30.31
759.50,318.50,228.50,132.00,2.90,0.10,33.53
735.00,294.00,214.00,138.00,4.88,0.10,42.61
710.50,269.50,214.00,142.00,2.03,0.25,34.03
661.50,416.50,115.50,152.00,1.84,0.10,66.12
784.00,343.00,226.00,128.00,5.19,0.25,55.31
637.00,343.00,149.00,158.00,3.13,0.10,45.33
808.50,367.50,224.00,124.00,2.85,0.10,20.81
710.50,269.50,216.00,142.00,4.99,0.40,42.65
735.00,294.00,224.00,138.00,4.86,0.10,48.58
686.00,245.00,230.00,148.00,2.83,0.00,41.58
637.00,343.00,152.50,158.00,5.16,0.25,66.75
710.50,269.50,218.00,142.00,2.03,0.25,31.25
588.00,294.00,147.00,172.00,3.03,0.25,57.83
808.50,367.50,223.50,124.00,3.04,0.25,46.73
784.00,343.00,213.00,128.00,2.95,0.40,34.78
710.50,269.50,219.50,142.00,2.92,0.25,50.86
808.50,367.50,230.00,124.00,3.13,0.25,53.98
563.50,318.50,132.50,180.00,3.02,0.10,61.15
710.50,269.50,215.50,142.00,5.13,0.25,40.61
735.00,294.00,228.50,138.00,4.85,0.40,35.75
735.00,294.00,213.50,138.00,3.15,0.10,25.51
563.50,318.50,114.00,180.00,3.94,0.40,64.33
612.50,318.50,157.00,164.00,4.88,0.40,70.50
588.00,294.00,155.00,172.00,3.80,0.40,45.91
563.50,318.50,117.50,180.00,4.97,0.40,56.37
735.00,294.00,224.00,138.00,4.15,0.40,49.55
735.00,294.00,220.50,138.00,2.90,0.40,43.07
759.50,318.50,230.50,132.00,2.08,0.10,21.75
784.00,343.00,220.50,128.00,5.20,0.00,26.37
808.50,367.50,224.00,124.00,3.95,0.40,42.45
612.50,318.50,142.00,164.00,4.82,0.10,52.83
808.50,367.50,223.50,124.00,5.09,0.10,44.01
661.50,416.50,120.50,152.00,4.97,0.25,61.55
710.50,269.50,211.00,142.00,2.95,0.10,24.72
710.50,269.50,228.50,142.00,1.95,0.10,33.40
612.50,318.50,153.00,164.00,1.96,0.40,67.68
784.00,343.00,224.50,128.00,2.00,0.10,42.31
514.50,294.00,109.75,196.00,1.88,0.40,62.44
563.50,318.50,127.00,180.00,5.20,0.10,49.90
759.50,318.50,230.00,132.00,3.08,0.25,46.54
808.50,367.50,212.00,124.00,2.04,0.10,28.12
563.50,318.50,124.00,180.00,2.90,0.10,44.91
563.50,318.50,116.50,180.00,1.82,0.10,56.76
735.00,294.00,220.00,138.00,2.02,0.10,35.11
514.50,294.00,108.25,196.00,3.93,0.25,40.37
808.50,367.50,221.50,124.00,3.91,0.40,34.76
661.50,416.50,117.50,152.00,2.82,0.10,61.34
612.50,318.50,156.50,164.00,3.00,0.40,57.24
759.50,318.50,211.00,132.00,1.97,0.10,31.32
637.00,343.00,151.50,158.00,3.12,0.25,79.82
588.00,294.00,155.50,172.00,2.96,0.10,62.30
759.50,318.50,216.00,132.00,4.09,0.10,28.54
735.00,294.00,229.00,138.00,4.00,0.25,49.47
514.50,294.00,119.75,196.00,4.80,0.10,59.57
686.00,245.00,228.50,148.00,2.86,0.25,31.03
686.00,245.00,225.00,148.00,2.84,0.40,26.17
661.50,416.50,121.50,152.00,2.02,0.25,51.72
563.50,318.50,117.00,180.00,1.85,0.40,64.04
759.50,318.50,221.00,132.00,3.11,0.10,36.93
735.00,294.00,227.50,138.00,3.90,0.10,23.36
686.00,245.00,214.50,148.00,4.83,0.10,37.68
710.50,269.50,230.50,142.00,4.07,0.25,52.33
563.50,318.50,127.00,180.00,2.09,0.25,64.69
710.50,269.50,218.50,142.00,2.88,0.40,50.25
759.50,318.50,222.00,132.00,4.92,0.25,31.68
637.00,343.00,145.00,158.00,1.85,0.10,63.93
661.50,416.50,131.50,152.00,2.18,0.10,68.76
710.50,269.50,222.50,142.00,3.87,0.40,35.66
784.00,343.00,216.50,128.00,5.10,0.40,51.14
563.50,318.50,115.00,180.00,2.87,0.40,71.12
588.00,294.00,140.00,172.00,2.80,0.25,67.16
735.00,294.00,224.50,138.00,1.89,0.40,36.77
759.50,318.50,225.00,132.00,1.82,0.40,48.49
686.00,245.00,230.50,148.00,4.98,0.40,26.08
686.00,245.00,224.00,148.00,5.01,0.25,47.29
808.50,367.50,211.00,124.00,2.17,0.25,33.82
514.50,294.00,118.75,196.00,5.16,0.40,55.24
514.50,294.00,111.25,196.00,2.19,0.40,57.87
784.00,343.00,217.50,128.00,4.10,0.25,48.36
563.50,318.50,126.50,180.00,4.04,0.40,64.61
686.00,245.00,210.50,148.00,2.08,0.40,36.47
808.50,367.50,227.00,124.00,5.16,0.40,37.27
784.00,343.00,223.00,128.00,2.11,0.25,43.49
612.50,318.50,151.00,164.00,2.05,0.25,50.89
784.00,343.00,212.00,128.00,2.90,0.25,38.60
637.00,343.00,150.00,158.00,5.18,0.10,46.00
